time,B&H,Classical,Fuzzy,Fuzzy C,Fuzzy PSO,Fuzzy C PSO
1705593600,4478.911770939689,,,,,
1705597200,4463.366723536898,,,,,
1705600800,4446.065917325082,,,,,
1705604400,4401.664166635179,3439.092118758565,4393.249064369452,4372.888969560838,4397.055476428117,4383.8486569115685
1705608000,4403.061299797939,3430.0218809079383,,,,
1705611600,4430.883152175664,,,,,
1705615200,4450.047974123117,,,,,
1705618800,4451.0625970394685,,,,,
1705622400,4435.490743849339,,,,,
1705626000,4430.935616604355,,,,,
1705629600,4416.414785594754,,,,,
1705633200,4425.543348897896,,,,,
1705636800,4431.259088699277,,,,,
1705640400,4438.852532540829,,,,,
1705644000,4453.105303540361,,,,,
1705647600,4439.355561129238,,,,,
1705651200,4446.641805904062,,,,,
1705654800,4463.829533793882,,,,,
1705658400,4471.089805822297,,,,,
1705662000,4472.444537303576,,,,,
1705665600,4468.2395316098755,,,,,
1705669200,4483.07908757758,,,,,
1705672800,4443.316938135724,,,,,
1705676400,4422.967903099059,,,,,
1705680000,4371.379754221552,3419.5538020507333,4389.875034631469,4369.813962631151,4393.9804694984305,4380.773649981882
1705683600,4442.117344298166,,,,,
1705687200,4478.387613979776,,,,,
1705690800,4485.754198617693,,,,,
1705694400,4469.171957466739,,,,,
1705698000,4473.3016037591215,,,,,
1705701600,4477.72318057114,,,,,
1705705200,4483.826597423233,,,,,
1705708800,4462.270093765788,,,,,
1705712400,4484.700175226326,,,,,
1705716000,4478.226309041696,,,,,
1705719600,4470.482273706433,,,,,
1705723200,4471.916162885784,,,,,
1705726800,4468.031562136568,,,,,
1705730400,4470.750112057498,,,,,
1705734000,4468.521594332761,,,,,
1705737600,4464.906301214085,,,,,
1705741200,4463.212583158387,,,,,
1705744800,4467.224727058855,,,,,
1705748400,4469.575958952344,,,,,
1705752000,4469.424641465443,,,,,
1705755600,4468.102884713894,,,,,
1705759200,4460.732404588482,,,,,
1705762800,4460.984099405324,,,,,
1705766400,4458.166529692833,,,,,
1705770000,4464.890041308416,,,,,
1705773600,4460.136875795984,,,,,
1705777200,4464.715463521272,,,,,
1705780800,4477.885290438526,,,,,
1705784400,4480.152516645503,,,,,
1705788000,4486.559050739436,,,,,
1705791600,4484.880242959991,,,,,
1705795200,4481.635315664097,,,,,
1705798800,4480.46869268789,,,,,
1705802400,4496.8601348736765,,,,,
1705806000,4492.371138324512,,,,,
1705809600,4486.154165736274,,,,,
1705813200,4485.856185276666,,,,,
1705816800,4482.252054260584,,,,,
1705820400,4486.922351378055,,,,,
1705824000,4485.923462678717,,,,,
1705827600,4498.347930177486,,,,,
1705831200,4502.222324148635,,,,,
1705834800,4496.4706057622425,,,,,
1705838400,4494.634479714304,,,,,
1705842000,4505.501926924574,,,,,
1705845600,4500.713428007111,,,,,
1705849200,4488.904879630547,,,,,
1705852800,4488.880519086291,,,,,
1705856400,4495.4380848061155,,,,,
1705860000,4495.890823869916,,,,,
1705863600,4502.839728038448,,,,,
1705867200,4493.585036395851,,,,,
1705870800,4508.508505203521,3416.7953941519368,,,,
1705874400,4488.757302262314,,,,,
1705878000,4478.178554272669,,,,,
1705881600,4488.221197301843,,,,,
1705885200,4458.2382440503225,,,,,
1705888800,4449.134081508765,,,,,
1705892400,4443.584069574093,,,,,
1705896000,4408.0352260912605,,,,,
1705899600,4437.529283785368,,,,,
1705903200,4446.0032027890675,,,,,
1705906800,4433.027780101048,,,,,
1705910400,4416.685772774734,,4385.579645094209,4366.7848335938415,4389.989421596613,4377.744520944572
1705914000,4380.518688492013,3410.572241881554,4376.879462500322,4360.561681323458,4382.076931659642,4371.521368674189
1705917600,4373.795061948087,3401.53351892719,4364.583759599035,4351.487319474801,4371.003857826404,4362.447006825531
1705921200,4381.181267317769,,,,,
1705924800,4382.285768316047,,,,,
1705928400,4394.861605424192,,,,,
1705932000,4356.84354749868,3398.512896615943,4354.801764145092,4345.437787011438,4361.914947008563,4356.397474362168
1705935600,4367.401335592138,,,,,
1705939200,4348.553569158909,,,,,
1705942800,4365.5578379069075,,,,,
1705946400,4339.196567598213,3395.4765442560783,,,,
1705950000,4276.948792085527,3362.021644272891,4321.490760513259,4329.422432381027,4315.369874193804,4333.540817254567
1705953600,4310.196233345976,,,,,
1705957200,4285.051220657665,,,,,
1705960800,4275.276723160394,,,,,
1705964400,4259.80072472168,3350.6597479636066,4300.059633742538,4320.258603601869,4294.022537983942,4321.370934608827
1705968000,4282.461889309208,,,,,
1705971600,4292.148174569787,,,,,
1705975200,4309.700370380537,,,,,
